word,ipa,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x13_status,x14_contour,x15_meter,x16_regularity,tau,morph_type,d_source,generated,ud_atype,ud_kana,ud_mora,accent_class,accent_default,accent_variant,accent_src
あたふた,ataɸuta,2,8,3,6,7,3,440.0,3.75,7,4500.0,6.47,2,mc,3,#FFD700,86.9,-1.9,87.1,5,prior_pending_realaudio,5.89,6.55,6.15,0.348,COMPOUND(複合・異種),measured,False,1,アタフタ,4,atamadaka_頭高,front,false,whole
あっ,aʔ,6,9,9,8,2,1,350.0,3.17,9,8000.0,7.44,9,0,4,#FF0000,53.2,80.1,67.2,2,prior_pending_realaudio,9.0,3.32,0,0.401,Q(促音単発),measured,False,1,アッ,2,atamadaka_頭高,front,false,whole
あっさり,assaɾi,2,7,8,1,8,5,520.0,4.17,6,1200.0,4.22,3,c,2,#F0FFFF,98.9,-4.9,-1.7,5,prior_pending_realaudio,6.21,7.73,2.28,0.343,COMPOUND(複合・異種),measured,False,3,アッサリ,4,nakadaka/odaka_核3,back,true,whole
あっぷあっぷ,appuappu,5,6,4,7,6,9,220.0,2.0,5,3000.0,5.78,8,mc,3,#4169E1,47.8,26.3,-65.3,4,prior_pending_realaudio,5.07,8.8,2.66,0.443,REDUP(畳語・同一),measured,False,1,アップアップ,6,atamadaka_頭高,front,false,whole
あはは,ahaha,1,5,2,0,9,6,480.0,3.97,2,500.0,2.73,1,h,6,#FFFF00,97.1,-21.6,94.5,3,prior_pending_realaudio,5.81,7.68,3.18,0.313,OTHER(単発),measured,False,1,アハハ,3,atamadaka_頭高,front,false,whole
あぶあぶ,abuabu,4,5,4,6,7,8,180.0,1.49,4,2500.0,5.47,7,mc,3,#ADD8E6,83.8,-10.9,-11.5,4,prior_pending_realaudio,4.96,8.45,3.26,0.425,REDUP(畳語・同一),measured,False,1,ア,1,atamadaka_頭高,front,false,firsttoken
あんぐり,aŋɡuɾi,5,4,8,3,4,4,150.0,1.03,6,800.0,3.53,6,0,4,#FFA500,74.9,23.9,78.9,5,prior_pending_realaudio,5.48,7.29,2.59,0.347,COMPOUND(複合・異種),measured,False,3,アングリ,4,nakadaka/odaka_核3,back,true,whole
あんあん,aŋaŋ,3,3,2,5,8,7,320.0,2.94,2,400.0,2.35,3,hh,7,#FF69B4,65.5,64.2,-10.6,4,prior_pending_realaudio,5.06,8.51,3.01,0.413,REDUP(畳語・同一),measured,False,1,アン,2,atamadaka_頭高,front,false,firsttoken
あーあ,aːa,2,1,1,2,9,4,280.0,2.61,0,200.0,1.18,1,mc,3,#BEBEBE,77.0,-0.0,0.0,2,prior_pending_realaudio,5.29,7.63,3.31,0.322,LONG(長音ー),measured,False,1,アーア,3,atamadaka_頭高,front,false,whole
あーん,aːŋ,3,2,6,3,7,5,250.0,2.32,1,300.0,1.87,2,h,6,#FFDAB9,89.4,8.1,21.0,3,prior_pending_realaudio,5.24,8.05,4.56,0.315,LONG+N(長音+ん),measured,False,0,アー,2,heiban_平板,flat,false,firsttoken
いじいじ,idʑiidʑi,4,3,2,9,3,5,200.0,1.75,5,600.0,3.04,4,c,2,#4B0082,20.5,51.7,-53.3,4,prior_pending_realaudio,5.05,8.78,2.68,0.455,REDUP(畳語・同一),measured,False,1,イジイジ,4,atamadaka_頭高,front,false,whole
いそいそ,isoiso,2,7,7,2,8,2,600.0,4.54,4,3500.0,6.04,2,mh,5,#FFFACD,97.6,-5.4,22.2,4,prior_pending_realaudio,5.09,7.97,3.24,0.45,REDUP(畳語・同一),measured,False,1,イソイソ,4,atamadaka_頭高,front,false,whole
